date,areaType,areaCode,areaName,newDeaths28DaysByDeathDate
"2020-06-17",overview,K02000001,United Kingdom,0
"2020-06-16",overview,K02000001,United Kingdom,0
"2020-06-15",overview,K02000001,United Kingdom,0
"2020-06-14",overview,K02000001,United Kingdom,0
"2020-06-13",overview,K02000001,United Kingdom,0
"2020-06-12",overview,K02000001,United Kingdom,0
"2020-06-11",overview,K02000001,United Kingdom,0
"2020-06-10",overview,K02000001,United Kingdom,0
"2020-06-09",overview,K02000001,United Kingdom,0
"2020-06-08",overview,K02000001,United Kingdom,0
"2020-06-07",overview,K02000001,United Kingdom,0
"2020-06-06",overview,K02000001,United Kingdom,0
"2020-06-05",overview,K02000001,United Kingdom,122
"2020-06-04",overview,K02000001,United Kingdom,0
"2020-06-03",overview,K02000001,United Kingdom,0
"2020-06-02",overview,K02000001,United Kingdom,0
"2020-06-01",overview,K02000001,United Kingdom,142
"2020-05-31",overview,K02000001,United Kingdom,119
"2020-05-30",overview,K02000001,United Kingdom,168
"2020-05-29",overview,K02000001,United Kingdom,185
"2020-05-28",overview,K02000001,United Kingdom,0
"2020-05-27",overview,K02000001,United Kingdom,0
"2020-05-26",overview,K02000001,United Kingdom,0
"2020-05-25",overview,K02000001,United Kingdom,0
"2020-05-24",overview,K02000001,United Kingdom,0
"2020-05-23",overview,K02000001,United Kingdom,0
"2020-05-22",overview,K02000001,United Kingdom,0
"2020-05-21",overview,K02000001,United Kingdom,0
"2020-05-20",overview,K02000001,United Kingdom,0
"2020-05-19",overview,K02000001,United Kingdom,0
"2020-05-18",overview,K02000001,United Kingdom,0
"2020-05-17",overview,K02000001,United Kingdom,0
"2020-05-16",overview,K02000001,United Kingdom,0
"2020-05-15",overview,K02000001,United Kingdom,0
"2020-05-14",overview,K02000001,United Kingdom,0
"2020-05-13",overview,K02000001,United Kingdom,0
"2020-05-12",overview,K02000001,United Kingdom,0
"2020-05-11",overview,K02000001,United Kingdom,0
"2020-05-10",overview,K02000001,United Kingdom,0
"2020-05-09",overview,K02000001,United Kingdom,0
"2020-05-08",overview,K02000001,United Kingdom,0
"2020-05-07",overview,K02000001,United Kingdom,0
"2020-05-06",overview,K02000001,United Kingdom,0
"2020-05-05",overview,K02000001,United Kingdom,0
"2020-05-04",overview,K02000001,United Kingdom,0
"2020-05-03",overview,K02000001,United Kingdom,0
"2020-05-02",overview,K02000001,United Kingdom,0
"2020-05-01",overview,K02000001,United Kingdom,0
"2020-04-30",overview,K02000001,United Kingdom,0
"2020-04-29",overview,K02000001,United Kingdom,0
"2020-04-28",overview,K02000001,United Kingdom,0
"2020-04-27",overview,K02000001,United Kingdom,0
"2020-04-26",overview,K02000001,United Kingdom,0
"2020-04-25",overview,K02000001,United Kingdom,0
"2020-04-24",overview,K02000001,United Kingdom,0
"2020-04-23",overview,K02000001,United Kingdom,0
"2020-04-22",overview,K02000001,United Kingdom,0
"2020-04-21",overview,K02000001,United Kingdom,0
"2020-04-20",overview,K02000001,United Kingdom,0
"2020-04-19",overview,K02000001,United Kingdom,0
"2020-04-18",overview,K02000001,United Kingdom,0
"2020-04-17",overview,K02000001,United Kingdom,0
"2020-04-16",overview,K02000001,United Kingdom,0
"2020-04-15",overview,K02000001,United Kingdom,0
"2020-04-14",overview,K02000001,United Kingdom,0
"2020-04-13",overview,K02000001,United Kingdom,0
"2020-04-12",overview,K02000001,United Kingdom,0
"2020-04-11",overview,K02000001,United Kingdom,0
"2020-04-10",overview,K02000001,United Kingdom,0
"2020-04-09",overview,K02000001,United Kingdom,0
"2020-04-08",overview,K02000001,United Kingdom,0
"2020-04-07",overview,K02000001,United Kingdom,0
"2020-04-06",overview,K02000001,United Kingdom,0
"2020-04-05",overview,K02000001,United Kingdom,0
"2020-04-04",overview,K02000001,United Kingdom,0
"2020-04-03",overview,K02000001,United Kingdom,0
"2020-04-02",overview,K02000001,United Kingdom,0
"2020-04-01",overview,K02000001,United Kingdom,0
"2020-03-31",overview,K02000001,United Kingdom,0
"2020-03-30",overview,K02000001,United Kingdom,0
"2020-03-29",overview,K02000001,United Kingdom,0
"2020-03-28",overview,K02000001,United Kingdom,0
"2020-03-27",overview,K02000001,United Kingdom,0
"2020-03-26",overview,K02000001,United Kingdom,0
"2020-03-25",overview,K02000001,United Kingdom,0
"2020-03-24",overview,K02000001,United Kingdom,0
"2020-03-23",overview,K02000001,United Kingdom,0
"2020-03-22",overview,K02000001,United Kingdom,0
"2020-03-21",overview,K02000001,United Kingdom,0
"2020-03-20",overview,K02000001,United Kingdom,0
"2020-03-19",overview,K02000001,United Kingdom,0
"2020-03-18",overview,K02000001,United Kingdom,68
"2020-03-17",overview,K02000001,United Kingdom,52
"2020-03-16",overview,K02000001,United Kingdom,43
"2020-03-15",overview,K02000001,United Kingdom,32
"2020-03-14",overview,K02000001,United Kingdom,22
"2020-03-13",overview,K02000001,United Kingdom,16
"2020-03-12",overview,K02000001,United Kingdom,13
"2020-03-11",overview,K02000001,United Kingdom,8
"2020-03-10",overview,K02000001,United Kingdom,3
"2020-03-09",overview,K02000001,United Kingdom,5
"2020-03-08",overview,K02000001,United Kingdom,3
"2020-03-07",overview,K02000001,United Kingdom,0
"2020-03-06",overview,K02000001,United Kingdom,0
"2020-03-05",overview,K02000001,United Kingdom,3
"2020-03-04",overview,K02000001,United Kingdom,0
"2020-03-03",overview,K02000001,United Kingdom,2
"2020-03-02",overview,K02000001,United Kingdom,1
"2020-03-01",overview,K02000001,United Kingdom,0
"2020-02-29",overview,K02000001,United Kingdom,0
